ts_event,main_option_value,main_option_greeks,other_options_total_value,other_options_total_greeks,all_options_total_greeks,remaining_delta,future_value,futures_position,total_portfolio_value
2024-03-12,[65.75],"[[5.12889279e-01]
 [2.15922074e-04]
 [1.05685964e+03]]",-123.83243478058665,[-5.31127425e-01 -2.15922075e-04 -1.05685964e+03],[-1.82381459e-02 -3.98910614e-13 -4.54747351e-13],[-0.01823815],[5237.75925926],[95.52701748],[37.4445827]
2024-03-13,[61.],"[[5.11911365e-01]
 [2.17569079e-04]
 [1.05226100e+03]]",-136.35468320144315,[-5.26718697e-01 -2.17569079e-04 -1.05226100e+03],[-1.48073326e-02 -5.28209502e-13 -6.82121026e-13],[-0.01480733],[5232.5],[77.47936779],[2.12468459]
2024-03-14,[52.75],"[[5.06137391e-01]
 [2.20132661e-04]
 [1.04370915e+03]]",-122.72883819355849,[-5.23044921e-01 -2.20132661e-04 -1.04370915e+03],[-1.69075309e-02  1.16628820e-13  2.27373675e-13],[-0.01690753],[5206.86111111],[88.03516533],[18.05632714]
2024-03-15,[47.75],"[[4.98567228e-01]
 [2.22623445e-04]
 [1.03272945e+03]]",-114.97907033027069,[-5.15693117e-01 -2.22623445e-04 -1.03272945e+03],[-1.71258886e-02  6.34358018e-14 -2.27373675e-13],[-0.01712589],[5176.55555556],[88.65311378],[21.42404345]
2024-03-18,[54.],"[[5.04992527e-01]
 [2.24784501e-04]
 [1.02393702e+03]]",-134.15641548207068,[-5.20710986e-01 -2.24784501e-04 -1.02393702e+03],[-1.57184581e-02 -2.43464726e-13 -7.95807864e-13],[-0.01571846],[5210.],[81.89316684],[1.73675135]
2024-03-19,[59.75],"[[5.11273343e-01]
 [2.24714978e-04]
 [1.02395672e+03]]",-127.26971015702286,[-5.28359388e-01 -2.24714979e-04 -1.02395672e+03],[-1.70860452e-02 -2.51458061e-13 -3.41060513e-13],[-0.01708605],[5238.5],[89.50524757],[21.98553742]
2024-03-20,[80.],"[[5.24917588e-01]
 [2.23300519e-04]
 [1.02789311e+03]]",-142.3115475344032,[-5.41870998e-01 -2.23300520e-04 -1.02789311e+03],[-1.69534100e-02 -4.19963353e-13 -4.54747351e-13],[-0.01695341],[5302.75],[89.89969463],[27.58814709]
2024-03-21,[81.5],"[[5.26497069e-01]
 [2.23835926e-04]
 [1.02387697e+03]]",-154.62298881634706,[-5.42752405e-01 -2.23835926e-04 -1.02387697e+03],[-1.62553363e-02 -1.79555372e-13  1.13686838e-13],[-0.01625534],[5310.],[86.31583601],[13.19284719]
2024-03-22,[73.25],"[[5.21805353e-01]
 [2.26369315e-04]
 [1.01641334e+03]]",-151.04283413728263,[-5.38203245e-01 -2.26369315e-04 -1.01641334e+03],[-1.63978927e-02  9.56558780e-14 -2.27373675e-13],[-0.01639789],[5289.75],[86.74075309],[8.94791896]
2024-03-25,[67.5],"[[5.19871215e-01]
 [2.31011479e-04]
 [1.00078749e+03]]",-142.59306539971837,[-5.37745740e-01 -2.31011480e-04 -1.00078749e+03],[-1.78745254e-02 -2.25138213e-13 -5.68434189e-13],[-0.01787453],[5283.75],[94.44452365],[19.35145825]
2024-03-26,[64.],"[[5.17538650e-01]
 [2.33354141e-04]
 [9.94569159e+02]]",-138.2946665735984,[-5.35828812e-01 -2.33354141e-04 -9.94569159e+02],[-1.82901624e-02 -4.28449865e-13  3.41060513e-13],[-0.01829016],[5275.5],[96.4897516],[22.19508503]
2024-03-27,[74.],"[[5.23540141e-01]
 [2.33123538e-04]
 [9.92619249e+02]]",-147.09463006499675,[-5.40845840e-01 -2.33123539e-04 -9.92619249e+02],[-1.73056987e-02 -4.48410027e-13 -3.41060513e-13],[-0.0173057],[5303.5],[91.78077302],[18.68614295]
2024-03-28,[74.75],"[[5.23129002e-01]
 [2.34918113e-04]
 [9.87158276e+02]]",-152.7562943738857,[-5.40224118e-01 -2.34918113e-04 -9.87158276e+02],[-1.70951170e-02 -3.01359930e-13  6.82121026e-13],[-0.01709512],[5304.25],[90.67677418],[12.67047981]
2024-04-01,[69.25],"[[5.18117372e-01]
 [2.41868805e-04]
 [9.63157948e+02]]",-141.74552575893938,[-5.37561994e-01 -2.41868806e-04 -9.63157948e+02],[-1.94446219e-02 -3.70761039e-13  9.09494702e-13],[-0.01944462],[5289.5],[102.85232746],[30.3568017]
2024-04-02,[59.5],"[[5.10140586e-01]
 [2.45239775e-04]
 [9.53252699e+02]]",-131.65906598936508,[-5.29427223e-01 -2.45239775e-04 -9.53252699e+02],[-1.92866368e-02 -5.11573206e-14 -4.54747351e-13],[-0.01928664],[5258.5],[101.41877954],[29.25971355]
2024-04-03,[65.5],"[[5.14371541e-01]
 [2.46605461e-04]
 [9.50499476e+02]]",-133.62946482306435,[-5.33991049e-01 -2.46605461e-04 -9.50499476e+02],[-1.96195080e-02 -2.57077183e-13  4.54747351e-13],[-0.01961951],[5278.75],[103.56647772],[35.4370129]
2024-04-04,[44.75],"[[4.94264172e-01]
 [2.52498180e-04]
 [9.32705899e+02]]",-123.16900667331562,[-5.13771037e-01 -2.52498180e-04 -9.32705899e+02],[-1.95068654e-02 -1.96169578e-14  2.27373675e-13],[-0.01950687],[5200.75],[101.45033047],[23.0313238]
2024-04-05,[59.75],"[[5.07530885e-01]
 [2.51180856e-04]
 [9.35419828e+02]]",-131.54161669424474,[-5.27331315e-01 -2.51180856e-04 -9.35419828e+02],[-1.98004294e-02  3.91157376e-14  9.09494702e-13],[-0.01980043],[5255.75],[104.06610708],[32.27449039]
2024-04-08,[55.],"[[5.06672425e-01]
 [2.56329305e-04]
 [9.18859512e+02]]",-127.55789336024226,[-5.28284401e-01 -2.56329305e-04 -9.18859512e+02],[-2.16119758e-02 -1.19741890e-13  3.41060513e-13],[-0.02161198],[5255.25],[113.5763357],[41.01844234]
2024-04-09,[56.25],"[[5.07982547e-01]
 [2.57810889e-04]
 [9.14025218e+02]]",-119.89161238893453,[-5.31052228e-01 -2.57810889e-04 -9.14025218e+02],[-2.30696813e-02 -2.08247102e-13 -1.13686838e-13],[-0.02306968],[5262.],[121.39266288],[57.75105049]
2024-04-10,[38.5],"[[4.90549770e-01]
 [2.62874435e-04]
 [8.97975143e+02]]",-118.08391904263985,[-5.11135723e-01 -2.62874435e-04 -8.97975143e+02],[-2.05859528e-02 -7.36013355e-14 -3.41060513e-13],[-0.02058595],[5196.25],[106.9697572],[27.38583816]
2024-04-11,[49.],"[[5.02647176e-01]
 [2.62732705e-04]
 [8.99938933e+02]]",-121.89587279817005,[-5.24030427e-01 -2.62732706e-04 -8.99938933e+02],[-2.13832502e-02 -5.14160763e-13 -6.82121026e-13],[-0.02138325],[5244.5],[112.14445551],[39.24858271]
2024-04-12,[34.25],"[[4.80744457e-01]
 [2.68511414e-04]
 [8.80006812e+02]]",-110.68102847766667,[-5.02353584e-01 -2.68511414e-04 -8.80006812e+02],[-2.16091274e-02  4.41831901e-14 -2.27373675e-13],[-0.02160913],[5166.5],[111.64355657],[35.21252809]
2024-04-15,[24.5],"[[4.60873869e-01]
 [2.76793653e-04]
 [8.48482528e+02]]",-93.97279319026629,[-4.84614336e-01 -2.76793653e-04 -8.48482528e+02],[-2.37404667e-02 -1.35290433e-13 -1.13686838e-13],[-0.02374047],[5102.75],[121.14166645],[51.66887326]
2024-04-16,[20.],"[[4.61884128e-01]
 [2.79265139e-04]
 [8.44521528e+02]]",-88.62245526261145,[-4.86766175e-01 -2.79265139e-04 -8.44521528e+02],[-2.48820467e-02 -7.47079265e-14 -1.13686838e-13],[-0.02488205],[5106.5],[127.06017124],[58.43771598]
2024-04-17,[14.],"[[4.49790397e-01]
 [2.83052562e-04]
 [8.29768743e+02]]",-75.65381150763116,[-4.76594972e-01 -2.83052562e-04 -8.29768743e+02],[-2.68045756e-02 -4.07184703e-13  3.41060513e-13],[-0.02680458],[5066.25],[135.79868118],[74.14486967]
2024-04-18,[12.],"[[4.41118841e-01]
 [2.85994471e-04]
 [8.16962413e+02]]",-75.65804687559648,[-4.67861843e-01 -2.85994471e-04 -8.16962413e+02],[-2.67430020e-02 -1.73657529e-13  0.00000000e+00],[-0.026743],[5040.],[134.78472993],[71.12668305]
2024-04-19,[9.9],"[[4.29224486e-01]
 [2.89034991e-04]
 [8.01017809e+02]]",-69.50534794499526,[-4.56101685e-01 -2.89034991e-04 -8.01017809e+02],[-2.68771989e-02  9.25166519e-14  0.00000000e+00],[-0.0268772],[5003.5],[134.48006462],[74.87471667]
2024-04-22,[10.25],"[[4.38822044e-01]
 [2.95286407e-04]
 [7.92670305e+02]]",-74.19798789888642,[-4.65989729e-01 -2.95286406e-04 -7.92670305e+02],[-2.71676855e-02  4.15888136e-13  1.02318154e-12],[-0.02716769],[5046.],[137.08814093],[73.14015303]
2024-04-23,[14.75],"[[4.59034527e-01]
 [2.95676722e-04]
 [8.02372534e+02]]",-78.72883563410275,[-4.87031102e-01 -2.95676722e-04 -8.02372534e+02],[-2.79965751e-02  4.12777722e-13 -2.27373675e-13],[-0.02799658],[5116.25],[143.23747731],[79.25864168]
2024-04-24,[10.25],"[[4.45679159e-01]
 [2.99695036e-04]
 [7.86652682e+02]]",-74.3017250211555,[-4.74506136e-01 -2.99695036e-04 -7.86652682e+02],[-2.88269764e-02  4.24522613e-14  0.00000000e+00],[-0.02882698],[5075.],[146.29690543],[82.2451804]
2024-04-25,[13.],"[[4.58052333e-01]
 [3.01429217e-04]
 [7.89855543e+02]]",-77.36472399956745,[-4.86525817e-01 -3.01429217e-04 -7.89855543e+02],[-2.84734842e-02  1.31827763e-13 -7.95807864e-13],[-0.02847348],[5119.5],[145.77000255],[81.40527855]
2024-04-26,[13.25],"[[4.60902098e-01]
 [3.03738083e-04]
 [7.85688925e+02]]",-82.92476620348853,[-4.89181901e-01 -3.03738083e-04 -7.85688925e+02],[-2.82798033e-02  7.37442876e-14  2.27373675e-13],[-0.0282798],[5131.75],[145.12488066],[75.45011445]
2024-04-29,[12.5],"[[4.62045630e-01]
 [3.11888594e-04]
 [7.67425609e+02]]",-86.26518668334843,[-4.90211290e-01 -3.11888594e-04 -7.67425609e+02],[-2.81656601e-02  1.39344645e-13  3.41060513e-13],[-0.02816566],[5144.75],[144.90527974],[71.14009306]
2024-04-30,[6.05],"[[4.33145514e-01]
 [3.17494062e-04]
 [7.40774532e+02]]",-73.8280565063969,[-4.62854179e-01 -3.17494062e-04 -7.40774532e+02],[-2.97086654e-02 -7.57586268e-14 -5.68434189e-13],[-0.02970867],[5057.75],[150.25900242],[82.48094591]
2024-05-01,[6.3],"[[4.34441448e-01]
 [3.20848432e-04]
 [7.35510644e+02]]",-73.635044008573,[-4.64580832e-01 -3.20848433e-04 -7.35510644e+02],[-3.01393836e-02 -5.84132731e-13  0.00000000e+00],[-0.03013938],[5066.75],[152.70872193],[85.37367792]
2024-05-02,[8.5],"[[4.47134029e-01]
 [3.20762015e-04]
 [7.37536038e+02]]",-72.78682232167252,[-4.77548234e-01 -3.20762015e-04 -7.37536038e+02],[-3.04142043e-02 -8.91181660e-14  3.41060513e-13],[-0.0304142],[5106.75],[155.317738],[91.03091568]
2024-05-03,[13.],"[[4.63725289e-01]
 [3.22058339e-04]
 [7.41350536e+02]]",-86.75929034903076,[-4.92694117e-01 -3.22058339e-04 -7.41350536e+02],[-2.89688279e-02 -7.27081698e-14  4.54747351e-13],[-0.02896883],[5161.5],[149.5226052],[75.76331485]
2024-05-06,[19.],"[[4.74749309e-01]
 [3.30333167e-04]
 [7.26065879e+02]]",-91.90648222585638,[-5.05286765e-01 -3.30333167e-04 -7.26065879e+02],[-3.05374555e-02 -4.97655302e-14 -4.54747351e-13],[-0.03053746],[5205.5],[158.9627246],[86.05624238]
2024-05-07,[19.],"[[4.76666471e-01]
 [3.33688421e-04]
 [7.19841396e+02]]",-94.84042195123757,[-5.07387480e-01 -3.33688421e-04 -7.19841396e+02],[-3.07210084e-02  1.89498048e-13 -6.82121026e-13],[-0.03072101],[5214.],[160.17933766],[84.3389157]
2024-05-08,[15.75],"[[4.74635337e-01]
 [3.37905721e-04]
 [7.11715558e+02]]",-92.33529959341692,[-5.05756834e-01 -3.37905721e-04 -7.11715558e+02],[-3.11214963e-02  2.58831585e-13  4.54747351e-13],[-0.0311215],[5210.25],[162.15077591],[85.56547632]
2024-05-09,[21.],"[[4.84893376e-01]
 [3.40062627e-04]
 [7.08942511e+02]]",-99.42328073003743,[-5.14506651e-01 -3.40062627e-04 -7.08942511e+02],[-2.96132744e-02 -3.39254774e-13 -4.54747351e-13],[-0.02961327],[5243.5],[155.27720438],[76.85392365]
2024-05-10,[19.5],"[[4.83280332e-01]
 [3.44324635e-04]
 [7.00599269e+02]]",-105.72811708132676,[-5.12153898e-01 -3.44324635e-04 -7.00599269e+02],[-2.88735658e-02  1.30714504e-13  2.27373675e-13],[-0.02887357],[5241.5],[151.34079521],[65.11267813]
2024-05-13,[20.],"[[4.80723544e-01]
 [3.57857193e-04]
 [6.75638052e+02]]",-102.99412026284551,[-5.10947843e-01 -3.57857193e-04 -6.75638052e+02],[-3.02242995e-02 -1.71407268e-13 -4.54747351e-13],[-0.0302243],[5244.25],[158.50378279],[75.50966253]
2024-05-14,[24.75],"[[4.89516785e-01]
 [3.60985265e-04]
 [6.70987551e+02]]",-102.32861963367122,[-5.21138252e-01 -3.60985265e-04 -6.70987551e+02],[-3.16214675e-02  1.68638974e-14  1.13686838e-13],[-0.03162147],[5271.5],[166.69256587],[89.11394624]
2024-05-15,[41.],"[[5.12667377e-01]
 [3.61826396e-04]
 [6.70226848e+02]]",-122.35680506929543,[-5.40125880e-01 -3.61826397e-04 -6.70226848e+02],[-2.74585034e-02 -3.02494629e-13  1.13686838e-13],[-0.0274585],[5337.75],[146.56662632],[65.20982125]
2024-05-16,[32.25],"[[5.05865892e-01]
 [3.67224641e-04]
 [6.59779312e+02]]",-121.53710062810103,[-5.34202748e-01 -3.67224641e-04 -6.59779312e+02],[-2.83368559e-02 -2.18528808e-13 -3.41060513e-13],[-0.02833686],[5320.],[150.75207365],[61.46497302]
2024-05-17,[31.75],"[[5.07987182e-01]
 [3.72739431e-04]
 [6.51829523e+02]]",-117.16371338346943,[-5.36783292e-01 -3.72739431e-04 -6.51829523e+02],[-2.87961103e-02  6.22029555e-14  0.00000000e+00],[-0.02879611],[5327.75],[153.41847659],[68.00476321]
2024-05-20,[32.],"[[5.06794295e-01]
 [3.89815863e-04]
 [6.24138946e+02]]",-120.50844354104612,[-5.36100178e-01 -3.89815863e-04 -6.24138946e+02],[-2.93058827e-02  3.20810002e-14 -3.41060513e-13],[-0.02930588],[5331.5],[156.24431375],[67.73587021]
2024-05-21,[34.75],"[[5.11959976e-01]
 [3.94967783e-04]
 [6.16077684e+02]]",-118.52471161069728,[-5.41312253e-01 -3.94967783e-04 -6.16077684e+02],[-2.93522771e-02  3.16094644e-13  1.13686838e-13],[-0.02935228],[5346.5],[156.93194946],[73.15723785]
2024-05-22,[29.25],"[[5.09049757e-01]
 [4.03025071e-04]
 [6.06040803e+02]]",-114.846812270261,[-5.39087164e-01 -4.03025071e-04 -6.06040803e+02],[-3.00374069e-02 -5.56043384e-14 -1.13686838e-13],[-0.03003741],[5341.],[160.42979044],[74.83297817]
2024-05-23,[15.25],"[[4.86456386e-01]
 [4.12730549e-04]
 [5.90129810e+02]]",-108.58369995435271,[-5.18982846e-01 -4.12730548e-04 -5.90129810e+02],[-3.25264596e-02  1.71971812e-13  0.00000000e+00],[-0.03252646],[5287.75],[171.99178689],[78.65808694]
2024-05-24,[20.5],"[[4.99710750e-01]
 [4.14117634e-04]
 [5.83966543e+02]]",-108.84195266216088,[-5.31767257e-01 -4.14117634e-04 -5.83966543e+02],[-3.20565074e-02 -1.68658707e-13  4.54747351e-13],[-0.03205651],[5320.75],[170.56466161],[82.22270895]
2024-05-27,[22.5],"[[4.98296938e-01]
 [4.37969448e-04]
 [5.52518281e+02]]",-107.97969720341217,[-5.33279745e-01 -4.37969448e-04 -5.52518281e+02],[-3.49828062e-02  2.51274695e-14  1.13686838e-13],[-0.03498281],[5326.],[186.31842585],[100.83872865]
2024-05-28,[20.25],"[[4.93069424e-01]
 [4.52427653e-04]
 [5.40695191e+02]]",-107.82902801695971,[-5.27338815e-01 -4.52427653e-04 -5.40695191e+02],[-3.42693910e-02 -3.13406202e-13 -4.54747351e-13],[-0.03426939],[5318.75],[182.2703233],[94.69129528]
2024-05-29,[10.5],"[[4.67468616e-01]
 [4.65453452e-04]
 [5.22711998e+02]]",-98.47739448853729,[-5.06222687e-01 -4.65453452e-04 -5.22711998e+02],[-3.87540714e-02 -3.14793385e-13  1.13686838e-13],[-0.03875407],[5266.75],[204.10800559],[116.13061111]
2024-05-30,[7.7],"[[4.53731899e-01]
 [4.78261201e-04]
 [5.07317590e+02]]",-93.17462751322051,[-4.95367837e-01 -4.78261201e-04 -5.07317590e+02],[-4.16359379e-02 -3.73744113e-13 -6.25277607e-13],[-0.04163594],[5243.],[218.29722223],[132.82259471]
2024-05-31,[13.25],"[[4.79102043e-01]
 [4.87071549e-04]
 [5.03817499e+02]]",-93.84059891459165,[-5.17225653e-01 -4.87071549e-04 -5.03817499e+02],[-3.81236104e-02 -2.92172157e-13 -6.25277607e-13],[-0.03812361],[5299.25],[202.02654231],[121.4359434]
2024-06-03,[13.25],"[[4.71942386e-01]
 [5.25054841e-04]
 [4.65907299e+02]]",-95.85734957930713,[-5.13087492e-01 -5.25054841e-04 -4.65907299e+02],[-4.11451069e-02 -3.31967418e-13 -4.54747351e-13],[-0.04114511],[5296.75],[217.93534479],[135.32799521]
2024-06-04,[16.25],"[[4.77499153e-01]
 [5.40253511e-04]
 [4.54478419e+02]]",-94.8675151870523,[-5.17762969e-01 -5.40253512e-04 -4.54478419e+02],[-4.02638168e-02 -3.07561160e-13  1.70530257e-13],[-0.04026382],[5311.5],[213.86126287],[135.24374768]
2024-06-05,[34.5],"[[5.07580459e-01]
 [5.51442996e-04]
 [4.46232415e+02]]",-106.96107950167523,[-5.42249437e-01 -5.51442996e-04 -4.46232415e+02],[-3.46689779e-02 -3.19935159e-13 -3.41060513e-13],[-0.03466898],[5369.75],[186.16374383],[113.70266433]
2024-06-06,[29.75],"[[5.03268597e-01]
 [5.70479346e-04]
 [4.31898384e+02]]",-107.18776784672639,[-5.38289497e-01 -5.70479346e-04 -4.31898384e+02],[-3.50209004e-02 -5.27545672e-14  2.84217094e-13],[-0.0350209],[5364.25],[187.86086501],[110.42309716]
2024-06-07,[22.],"[[4.95507950e-01]
 [5.93113115e-04]
 [4.16678497e+02]]",-104.10697020855145,[-5.32295781e-01 -5.93113115e-04 -4.16678497e+02],[-3.67878310e-02 -7.16039641e-15 -5.11590770e-13],[-0.03678783],[5353.5],[196.94365302],[114.83668281]
2024-06-10,[26.75],"[[4.97891648e-01]
 [6.67823254e-04]
 [3.70387173e+02]]",-97.82623362449841,[-5.34630190e-01 -6.67823254e-04 -3.70387173e+02],[-3.67385419e-02 -1.77679919e-13  2.84217094e-13],[-0.03673854],[5366.25],[197.14820057],[126.07196694]
2024-06-11,[30.75],"[[5.08869447e-01]
 [6.99327728e-04]
 [3.54403367e+02]]",-99.26853256715259,[-5.41738949e-01 -6.99327728e-04 -3.54403367e+02],[-3.28695024e-02 -1.08580354e-13 -1.70530257e-13],[-0.0328695],[5384.75],[176.99405282],[108.47552026]
2024-06-12,[51.5],"[[5.45096406e-01]
 [7.24739063e-04]
 [3.37476074e+02]]",-112.89954461643502,[-5.62834068e-01 -7.24739063e-04 -3.37476074e+02],[-1.77376614e-02 -7.66343369e-14 -3.41060513e-13],[-0.01773766],[5436.],[96.42192722],[35.0223826]
2024-06-13,[50.],"[[5.47284727e-01]
 [7.68237745e-04]
 [3.18217418e+02]]",-106.6750009855009,[-5.62956154e-01 -7.68237745e-04 -3.18217418e+02],[-1.56714276e-02 -4.11454724e-15  2.27373675e-13],[-0.01567143],[5438.],[85.22122317],[28.54622218]
2024-06-14,[46.5],"[[5.46400998e-01]
 [8.22103817e-04]
 [2.97716954e+02]]",-740.9992021971811,[-1.43608732e+00 -8.22103818e-04 -2.97716954e+02],[-8.89686326e-01 -1.28693388e-12  1.36424205e-12],[-0.88968633],[5435.75],[4836.11244822],[4141.61324602]
2024-06-17,[82.5],"[[6.04579223e-01]
 [1.05107113e-03]
 [2.20676453e+02]]",-962.1351806552958,[-1.87335681e+00 -1.05107113e-03 -2.20676453e+02],[-1.26877759e+00 -2.39166261e-12 -4.74642547e-12],[-1.26877759],[5485.],[6959.24506843],[6079.60988777]
2024-06-18,[97.],"[[6.30508324e-01]
 [1.19824820e-03]
 [1.87712957e+02]]",-1301.3288815775345,[-2.08051579e+00 -1.19824820e-03 -1.87712957e+02],[-1.45000747e+00 -4.72707810e-13 -1.02318154e-12],[-1.45000747],[5495.5],[7968.51602908],[6764.1871475]
2024-06-19,[95.],"[[6.52998971e-01]
 [1.43668438e-03]
 [1.49989034e+02]]",-1943.9369505353104,[-2.48826281e+00 -1.43668439e-03 -1.49989034e+02],[-1.83526384e+00 -3.40138811e-12 -6.30961949e-12],[-1.83526384],[5494.5],[10083.85715275],[8234.92020221]
2024-06-20,[78.5],"[[6.74597062e-01]
 [1.97848676e-03]
 [1.03065069e+02]]",-1842.5461924547524,[-3.36240789e+00 -1.97848676e-03 -1.03065069e+02],[-2.68781083e+00 -2.28176939e-12 -1.75361947e-11],[-2.68781083],[5479.],[14726.51552801],[12962.46933556]
2024-06-21,[72.],"[[1.]
 [0.]
 [0.]]",0.0,[0. 0. 0.],[1. 0. 0.],[1.],[5464.],[-5464.],[-5392.]
